column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
 Destination Port,int64,225745,0,0.0,8879.619460010188,19754.64739968167,0.0,80.0,80.0,80.0,65532.0,1.9480652802647112,2.0063030853208264,0,54,0
 Flow Duration,int64,225745,0,0.0,16241648.528131299,31524374.23194042,-1.0,71180.0,1452333.0,8805237.0,119999937.0,1.9419980221159918,2.1212030265333914,0,34,2
 Total Fwd Packets,int64,225745,0,0.0,4.874916387959866,15.422873551647712,1.0,2.0,3.0,5.0,1932.0,59.63700562725224,5296.222871729686,0,0,0
 Total Backward Packets,int64,225745,0,0.0,4.572774590799353,21.75535579690998,0.0,1.0,4.0,5.0,2942.0,66.21179476656579,6622.884655090161,0,55793,0
Total Length of Fwd Packets,int64,225745,0,0.0,939.4633458105384,3249.4034840923896,0.0,26.0,30.0,63.0,183012.0,7.522298434360469,171.8982431435515,0,5422,0
 Total Length of Bwd Packets,int64,225745,0,0.0,5960.4774546501585,39218.33744613414,0.0,0.0,164.0,11601.0,5172346.0,69.59724711597474,6813.510220188634,0,59683,0
 Fwd Packet Length Max,int64,225745,0,0.0,538.5356929278611,1864.1289907721177,0.0,6.0,20.0,34.0,11680.0,4.088016239595502,16.584515625035174,0,5422,0
 Fwd Packet Length Min,int64,225745,0,0.0,27.88222109016811,163.32415881091586,0.0,0.0,0.0,6.0,1472.0,8.040620768670863,63.29504106790645,0,117256,0
 Fwd Packet Length Mean,float64,225745,0,0.0,164.82671500740437,504.89296453736137,0.0,6.0,8.666666667,32.0,3867.0,3.314519221894812,9.618718705557413,0,5422,0
 Fwd Packet Length Std,float64,225745,0,0.0,214.90724223523156,797.411073492869,0.0,0.0,5.30199124,10.26320288,6692.644993,4.2294860984091,18.002703162615017,0,109924,0
Bwd Packet Length Max,int64,225745,0,0.0,2735.5851469578506,3705.1234604661627,0.0,0.0,99.0,5840.0,11680.0,0.9989763601024383,-0.41324659920208395,0,59683,0
 Bwd Packet Length Min,int64,225745,0,0.0,16.718775609648056,50.48056767646789,0.0,0.0,0.0,6.0,1460.0,10.433280510930832,239.7576420638502,0,167203,0
 Bwd Packet Length Mean,float64,225745,0,0.0,890.5368490131339,1120.3249207798203,0.0,0.0,92.0,1934.5,5800.5,0.6756726718414345,-1.299654751535717,0,59683,0
 Bwd Packet Length Std,float64,225745,0,0.0,1230.1729380628096,1733.2012666562384,0.0,0.0,2.449489743,2436.833027,8194.660487,1.144101546859253,0.08500308489109942,0,111583,0
Flow Bytes/s,float64,225745,4,1.7719107842920108e-05,inf,,-12000000.0,12.09086893,1136.605811,21597.22557,inf,,,30,5026,2
 Flow Packets/s,float64,225745,0,0.0,inf,,-2000000.0,0.618550605,5.179322533,70.46932571,inf,,,34,0,2
 Flow IAT Mean,float64,225745,0,0.0,1580587.2373814192,2701595.7854810446,-1.0,19181.625,224516.8571,2013458.667,107000000.0,4.1776405050181555,47.368480660569034,0,34,2
 Flow IAT Std,float64,225745,0,0.0,4248569.380688856,7622819.07728901,0.0,19104.46268,564167.6299,4033232.437,69200000.0,2.1848119324558626,4.57235887062501,0,20836,0
 Flow IAT Max,int64,225745,0,0.0,13489773.823712597,26701716.686247945,-1.0,61178.0,1422624.0,8358910.0,120000000.0,2.081320708727416,2.663283199822653,0,34,2
 Flow IAT Min,int64,225745,0,0.0,28118.54771977231,759810.0411378323,-12.0,1.0,3.0,39.0,107000000.0,55.923274626917035,4423.474011399322,0,7679,108
Fwd IAT Total,int64,225745,0,0.0,15396522.995525924,31608257.664847963,0.0,129.0,23710.0,7869855.0,120000000.0,1.958151519304159,2.173632524806371,0,31545,0
 Fwd IAT Mean,float64,225745,0,0.0,2540609.5092179705,5934694.00161218,0.0,110.0,10329.33333,2017643.0,120000000.0,6.539897121862271,85.14249185790366,0,31545,0
 Fwd IAT Std,float64,225745,0,0.0,5195207.380945546,10786352.442594893,0.0,0.0,12734.99313,3680321.09,76700000.0,2.195044168227241,3.43928409693426,0,61870,0
 Fwd IAT Max,int64,225745,0,0.0,12994339.103634631,27488695.815124348,0.0,124.0,23028.0,7548056.0,120000000.0,2.0951836216850124,2.6927817812383856,0,31545,0
 Fwd IAT Min,int64,225745,0,0.0,207369.8266849764,3795227.553758387,-12.0,1.0,4.0,122.0,120000000.0,22.68840441963471,559.3782177396673,0,35704,6
Bwd IAT Total,int64,225745,0,0.0,6564701.0865534125,21984549.33129201,0.0,0.0,41101.0,1111677.0,120000000.0,3.7610253736711576,12.987248996343032,0,72777,0
