column,dtype,unique_count,unique_ratio,cardinality,is_categorical,is_numeric
 Destination Port,int64,14495,0.05059919641703931,14495,False,True
 Flow Duration,int64,64077,0.2236802144749657,64077,False,True
 Total Fwd Packets,int64,384,0.001340468535642849,384,False,True
 Total Backward Packets,int64,486,0.0016965304904229806,486,False,True
Total Length of Fwd Packets,int64,5326,0.018592019325088055,5326,False,True
 Total Length of Bwd Packets,int64,11163,0.03896783922755501,11163,False,True
 Fwd Packet Length Max,int64,2569,0.008967874135589788,2569,False,True
 Fwd Packet Length Min,int64,123,0.00042936882782310007,123,False,True
 Fwd Packet Length Mean,float64,12922,0.04510816254577316,12922,False,True
 Fwd Packet Length Std,float64,18232,0.06364432901520943,18232,False,True
Bwd Packet Length Max,int64,2718,0.00948800385384704,2718,False,True
 Bwd Packet Length Min,int64,352,0.0012287628243392783,352,False,True
 Bwd Packet Length Mean,float64,15876,0.05541999602048404,15876,False,True
 Bwd Packet Length Std,float64,18464,0.06445419542216031,18464,False,True
Flow Bytes/s,float64,87365,0.3049740458761393,87365,False,True
 Flow Packets/s,float64,68847,0.24033134706615422,68847,False,True
 Flow IAT Mean,float64,68084,0.2376678640122597,68084,False,True
 Flow IAT Std,float64,59167,0.20654036939682408,59167,False,True
 Flow IAT Max,int64,47508,0.16584109164406372,47508,False,True
 Flow IAT Min,int64,17089,0.05965434063958501,17089,False,True
Fwd IAT Total,int64,28461,0.09935175779409147,28461,False,True
 Fwd IAT Mean,float64,43958,0.15344873929632383,43958,False,True
 Fwd IAT Std,float64,38411,0.13408525240254549,38411,False,True
 Fwd IAT Max,int64,28906,0.10090516534190674,28906,False,True
 Fwd IAT Min,int64,12666,0.044214516855344596,12666,False,True
Bwd IAT Total,int64,16441,0.057392299985687706,16441,False,True
 Bwd IAT Mean,float64,31064,0.1084383192479413,31064,False,True
 Bwd IAT Std,float64,28246,0.0986012350462706,28246,False,True
 Bwd IAT Max,int64,16691,0.05826500085524685,16691,False,True
 Bwd IAT Min,int64,6312,0.022033951554629328,6312,False,True
Fwd PSH Flags,int64,2,6.981606956473172e-06,2,False,True
 Bwd PSH Flags,int64,1,3.490803478236586e-06,1,False,True
 Fwd URG Flags,int64,1,3.490803478236586e-06,1,False,True
 Bwd URG Flags,int64,1,3.490803478236586e-06,1,False,True
 Fwd Header Length,int64,965,0.0033686253564983054,965,False,True
 Bwd Header Length,int64,1079,0.003766576953017276,1079,False,True
Fwd Packets/s,float64,68264,0.23829620863834228,68264,False,True
 Bwd Packets/s,float64,63349,0.22113890954280946,63349,False,True
 Min Packet Length,int64,107,0.0003735159721713147,107,False,True
 Max Packet Length,int64,3226,0.011261332020791225,3226,False,True
 Packet Length Mean,float64,20635,0.07203272977341195,20635,False,True
 Packet Length Std,float64,24733,0.08633804242722548,24733,False,True
 Packet Length Variance,float64,24733,0.08633804242722548,24733,False,True
FIN Flag Count,int64,2,6.981606956473172e-06,2,False,True
 SYN Flag Count,int64,2,6.981606956473172e-06,2,False,True
 RST Flag Count,int64,2,6.981606956473172e-06,2,False,True
 PSH Flag Count,int64,2,6.981606956473172e-06,2,False,True
 ACK Flag Count,int64,2,6.981606956473172e-06,2,False,True
 URG Flag Count,int64,2,6.981606956473172e-06,2,False,True
 CWE Flag Count,int64,1,3.490803478236586e-06,1,False,True
 ECE Flag Count,int64,2,6.981606956473172e-06,2,False,True
 Down/Up Ratio,int64,10,3.4908034782365856e-05,10,False,True
 Average Packet Size,float64,20058,0.07001853616646944,20058,False,True
 Avg Fwd Segment Size,float64,12922,0.04510816254577316,12922,False,True
 Avg Bwd Segment Size,float64,15876,0.05541999602048404,15876,False,True
 Fwd Header Length.1,int64,965,0.0033686253564983054,965,False,True
Fwd Avg Bytes/Bulk,int64,1,3.490803478236586e-06,1,False,True
 Fwd Avg Packets/Bulk,int64,1,3.490803478236586e-06,1,False,True
 Fwd Avg Bulk Rate,int64,1,3.490803478236586e-06,1,False,True
 Bwd Avg Bytes/Bulk,int64,1,3.490803478236586e-06,1,False,True
 Bwd Avg Packets/Bulk,int64,1,3.490803478236586e-06,1,False,True
Bwd Avg Bulk Rate,int64,1,3.490803478236586e-06,1,False,True
Subflow Fwd Packets,int64,384,0.001340468535642849,384,False,True
 Subflow Fwd Bytes,int64,5326,0.018592019325088055,5326,False,True
 Subflow Bwd Packets,int64,486,0.0016965304904229806,486,False,True
 Subflow Bwd Bytes,int64,11163,0.03896783922755501,11163,False,True
Init_Win_bytes_forward,int64,2926,0.01021409097732025,2926,False,True
 Init_Win_bytes_backward,int64,3054,0.010660913822534533,3054,False,True
 act_data_pkt_fwd,int64,329,0.0011484743443398366,329,False,True
 min_seg_size_forward,int64,11,3.8398838260602446e-05,11,False,True
Active Mean,float64,20723,0.07233992047949676,20723,False,True
 Active Std,float64,13515,0.04717820900836746,13515,False,True
 Active Max,int64,20484,0.07150561844819822,20484,False,True
 Active Min,int64,16107,0.05622637162395669,16107,False,True
Idle Mean,float64,11147,0.03891198637190322,11147,False,True
 Idle Std,float64,13350,0.04660222643445842,13350,False,True
 Idle Max,int64,6300,0.02199206191289049,6300,False,True
 Idle Min,int64,13008,0.04540837164490151,13008,False,True
 Label,object,2,6.981606956473172e-06,2,True,False
