column,dtype,total,missing_count,missing_ratio,non_missing
Destination Port,int64,286467,0,0.0,286467
Flow Duration,int64,286467,0,0.0,286467
Total Fwd Packets,int64,286467,0,0.0,286467
Total Backward Packets,int64,286467,0,0.0,286467
Total Length of Fwd Packets,int64,286467,0,0.0,286467
Total Length of Bwd Packets,int64,286467,0,0.0,286467
Fwd Packet Length Max,int64,286467,0,0.0,286467
Fwd Packet Length Min,int64,286467,0,0.0,286467
Fwd Packet Length Mean,float64,286467,0,0.0,286467
Fwd Packet Length Std,float64,286467,0,0.0,286467
Bwd Packet Length Max,int64,286467,0,0.0,286467
Bwd Packet Length Min,int64,286467,0,0.0,286467
Bwd Packet Length Mean,float64,286467,0,0.0,286467
Bwd Packet Length Std,float64,286467,0,0.0,286467
Flow Bytes/s,float64,286467,15,5.2362052173548784e-05,286452
Flow Packets/s,float64,286467,0,0.0,286467
Flow IAT Mean,float64,286467,0,0.0,286467
Flow IAT Std,float64,286467,0,0.0,286467
Flow IAT Max,int64,286467,0,0.0,286467
Flow IAT Min,int64,286467,0,0.0,286467
Fwd IAT Total,int64,286467,0,0.0,286467
Fwd IAT Mean,float64,286467,0,0.0,286467
Fwd IAT Std,float64,286467,0,0.0,286467
Fwd IAT Max,int64,286467,0,0.0,286467
Fwd IAT Min,int64,286467,0,0.0,286467
Bwd IAT Total,int64,286467,0,0.0,286467
Bwd IAT Mean,float64,286467,0,0.0,286467
Bwd IAT Std,float64,286467,0,0.0,286467
Bwd IAT Max,int64,286467,0,0.0,286467
Bwd IAT Min,int64,286467,0,0.0,286467
Fwd PSH Flags,int64,286467,0,0.0,286467
Bwd PSH Flags,int64,286467,0,0.0,286467
Fwd URG Flags,int64,286467,0,0.0,286467
Bwd URG Flags,int64,286467,0,0.0,286467
Fwd Header Length,int64,286467,0,0.0,286467
Bwd Header Length,int64,286467,0,0.0,286467
Fwd Packets/s,float64,286467,0,0.0,286467
Bwd Packets/s,float64,286467,0,0.0,286467
Min Packet Length,int64,286467,0,0.0,286467
Max Packet Length,int64,286467,0,0.0,286467
Packet Length Mean,float64,286467,0,0.0,286467
Packet Length Std,float64,286467,0,0.0,286467
Packet Length Variance,float64,286467,0,0.0,286467
FIN Flag Count,int64,286467,0,0.0,286467
SYN Flag Count,int64,286467,0,0.0,286467
RST Flag Count,int64,286467,0,0.0,286467
PSH Flag Count,int64,286467,0,0.0,286467
ACK Flag Count,int64,286467,0,0.0,286467
URG Flag Count,int64,286467,0,0.0,286467
CWE Flag Count,int64,286467,0,0.0,286467
ECE Flag Count,int64,286467,0,0.0,286467
Down/Up Ratio,int64,286467,0,0.0,286467
Average Packet Size,float64,286467,0,0.0,286467
Avg Fwd Segment Size,float64,286467,0,0.0,286467
Avg Bwd Segment Size,float64,286467,0,0.0,286467
Fwd Header Length.1,int64,286467,0,0.0,286467
Fwd Avg Bytes/Bulk,int64,286467,0,0.0,286467
Fwd Avg Packets/Bulk,int64,286467,0,0.0,286467
Fwd Avg Bulk Rate,int64,286467,0,0.0,286467
Bwd Avg Bytes/Bulk,int64,286467,0,0.0,286467
Bwd Avg Packets/Bulk,int64,286467,0,0.0,286467
Bwd Avg Bulk Rate,int64,286467,0,0.0,286467
Subflow Fwd Packets,int64,286467,0,0.0,286467
Subflow Fwd Bytes,int64,286467,0,0.0,286467
Subflow Bwd Packets,int64,286467,0,0.0,286467
Subflow Bwd Bytes,int64,286467,0,0.0,286467
Init_Win_bytes_forward,int64,286467,0,0.0,286467
Init_Win_bytes_backward,int64,286467,0,0.0,286467
act_data_pkt_fwd,int64,286467,0,0.0,286467
min_seg_size_forward,int64,286467,0,0.0,286467
Active Mean,float64,286467,0,0.0,286467
Active Std,float64,286467,0,0.0,286467
Active Max,int64,286467,0,0.0,286467
Active Min,int64,286467,0,0.0,286467
Idle Mean,float64,286467,0,0.0,286467
Idle Std,float64,286467,0,0.0,286467
Idle Max,int64,286467,0,0.0,286467
Idle Min,int64,286467,0,0.0,286467
Label,object,286467,0,0.0,286467
