column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
 Destination Port,int64,286467,0,0.0,8044.87632432357,15378.58344203292,0.0,80.0,1110.0,6881.0,65389.0,2.323003055620676,4.0935499504584385,0,101,0
 Flow Duration,int64,286467,0,0.0,5379330.607438204,21923643.868475035,-13.0,44.0,65.0,23806.0,119999949.0,4.396171075183131,18.305806294440323,0,371,36
 Total Fwd Packets,int64,286467,0,0.0,3.473283135579316,19.515131001977203,1.0,1.0,1.0,2.0,3119.0,51.767742951646554,4650.8001566514495,0,0,0
 Total Backward Packets,int64,286467,0,0.0,3.5204997434259444,28.288915638257347,0.0,1.0,1.0,2.0,3635.0,50.28671891663571,3788.655873147838,0,17431,0
Total Length of Fwd Packets,int64,286467,0,0.0,233.40766650259891,1865.523599706954,0.0,0.0,2.0,62.0,232349.0,41.085490252365496,2976.1731369168674,0,91790,0
 Total Length of Bwd Packets,int64,286467,0,0.0,2707.246796315108,50977.831897820586,0.0,6.0,6.0,115.0,7150819.0,59.30167228679051,5092.381166007557,0,27908,0
 Fwd Packet Length Max,int64,286467,0,0.0,81.03336859044846,327.7680354481,0.0,0.0,2.0,37.0,13929.0,9.753564594347575,152.0087603515127,0,91790,0
 Fwd Packet Length Min,int64,286467,0,0.0,10.352012622745377,24.23779540685038,0.0,0.0,2.0,6.0,1472.0,24.488701127939716,1377.9288407679992,0,124697,0
 Fwd Packet Length Mean,float64,286467,0,0.0,24.13868783767617,78.38154179483027,0.0,0.0,2.0,34.0,3412.938776,11.814696442838878,193.20222445816907,0,91790,0
 Fwd Packet Length Std,float64,286467,0,0.0,24.59099395568482,117.21804330413015,0.0,0.0,0.0,0.0,3541.466551,9.478940457616547,123.53458804302542,0,245569,0
Bwd Packet Length Max,int64,286467,0,0.0,185.64985146631201,585.7206057002682,0.0,6.0,6.0,72.0,10136.0,4.573974996067476,24.334820598909634,0,27908,0
 Bwd Packet Length Min,int64,286467,0,0.0,27.478529813207107,54.209646559944204,0.0,6.0,6.0,6.0,1460.0,5.430263306390438,91.76447989125805,0,53864,0
 Bwd Packet Length Mean,float64,286467,0,0.0,76.47301257233742,204.15286469936885,0.0,6.0,6.0,66.0,2442.523124,5.169816947786684,32.64004275385979,0,27908,0
 Bwd Packet Length Std,float64,286467,0,0.0,55.742307470884874,196.64378011428565,0.0,0.0,0.0,0.0,2628.883261,3.9930345723916223,18.066346495996292,0,256019,0
Flow Bytes/s,float64,286467,15,5.2362052173548784e-05,inf,,-193000000.0,7928.593309,125000.0,190476.1905,inf,,,356,10968,36
 Flow Packets/s,float64,286467,0,0.0,inf,,-2000000.0,166.4620571,30769.23077,45454.54545,inf,,,371,0,36
 Flow IAT Mean,float64,286467,0,0.0,343566.0589661305,2124999.2310281023,-13.0,44.0,61.0,7986.333333,98100000.0,12.392072712110293,189.3685752264367,0,371,36
 Flow IAT Std,float64,286467,0,0.0,669030.3967595964,3830433.492983544,0.0,0.0,0.0,86.02519011,84800000.0,10.827577093098407,141.6592884561968,0,200702,0
 Flow IAT Max,int64,286467,0,0.0,1821287.7180687478,9034294.208337924,-13.0,44.0,65.0,23681.0,120000000.0,7.558143603425182,65.08109189584405,0,371,36
