column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
Destination Port,int64,191033,0,0.0,6756.069987907848,16697.438823188615,0.0,53.0,80.0,443.0,64948.0,2.252477671259051,3.2159466783711537,0,152,0
Flow Duration,int64,191033,0,0.0,11644985.209822387,30700844.39557062,-12.0,194.0,31121.0,410284.0,119999993.0,2.706443813190315,5.912273378134239,0,122,9
Total Fwd Packets,int64,191033,0,0.0,13.826548292703356,1097.7555329347097,1.0,2.0,2.0,4.0,207964.0,172.37095467102304,30461.6554254265,0,0,0
Total Backward Packets,int64,191033,0,0.0,16.413713860955962,1479.792387146192,0.0,1.0,2.0,2.0,284602.0,173.04907155056247,30721.237200662807,0,23912,0
Total Length of Fwd Packets,int64,191033,0,0.0,599.9468364104631,7924.198182420694,0.0,40.0,70.0,152.0,1235152.0,103.74411448044525,14206.029528230994,0,17239,0
Total Length of Bwd Packets,int64,191033,0,0.0,28385.646537509227,3314537.901942522,0.0,6.0,152.0,344.0,627000000.0,172.11915091175345,30411.97101394,0,38435,0
Fwd Packet Length Max,int64,191033,0,0.0,174.71580302879607,554.4752226461418,0.0,30.0,42.0,64.0,24820.0,17.716412240833947,578.1776573523865,0,17239,0
Fwd Packet Length Min,int64,191033,0,0.0,23.897645956457787,41.90994230883009,0.0,0.0,23.0,42.0,2325.0,22.438117970067847,753.7948650291725,0,64102,0
Fwd Packet Length Mean,float64,191033,0,0.0,51.877418444219764,117.0318447569909,0.0,15.71428571,38.11235955,51.0,5940.857143,18.070503940021883,542.1184747153657,0,17239,0
Fwd Packet Length Std,float64,191033,0,0.0,50.19402315996176,160.4545322145733,0.0,0.0,0.0,20.1246118,7049.469004,10.201342930655866,204.02445534381062,0,131683,0
Bwd Packet Length Max,int64,191033,0,0.0,396.28357927687887,794.8246813105219,0.0,6.0,97.0,188.0,13032.0,3.0043522917257444,11.464040136244092,0,38435,0
Bwd Packet Length Min,int64,191033,0,0.0,59.77754628781415,80.97812761306773,0.0,0.0,43.0,104.0,1639.0,4.624418414833346,62.5674294783701,0,76050,0
Bwd Packet Length Mean,float64,191033,0,0.0,166.59234252750397,275.50301105526484,0.0,6.0,89.0,163.5,3787.339614,3.382196230119708,13.842518762452817,0,38435,0
Bwd Packet Length Std,float64,191033,0,0.0,120.44575699973444,272.50227470635093,0.0,0.0,0.0,0.0,2773.898104,2.3119571815934457,4.853476587237129,0,146386,0
Flow Bytes/s,float64,191033,28,0.00014657153476100988,inf,,-12000000.0,305.6156883,5720.804603,375000.0,inf,,,94,16095,8
Flow Packets/s,float64,191033,0,0.0,inf,,-2000000.0,15.30620054,98.30103052,19230.76923,inf,,,122,0,9
Flow IAT Mean,float64,191033,0,0.0,962681.3426056171,4223483.614772495,-12.0,74.0,13610.0,104206.6667,119000000.0,8.696147927990339,101.22984177745093,0,122,9
Flow IAT Std,float64,191033,0,0.0,1692836.7403423588,6386025.855412219,0.0,0.0,121.5414881,76240.25315,84800000.0,6.372953965634469,46.740012101749564,0,62604,0
Flow IAT Max,int64,191033,0,0.0,4602001.96311632,14730376.387782194,-12.0,163.0,30797.0,248961.0,120000000.0,4.506112999659847,21.83097930771826,0,122,9
Flow IAT Min,int64,191033,0,0.0,116467.44296011684,2364353.57871128,-13.0,3.0,4.0,104.0,119000000.0,27.26719270285129,799.8830908168244,0,4350,225
Fwd IAT Total,int64,191033,0,0.0,11362176.311961807,30569954.611145012,0.0,1.0,4.0,223040.0,120000000.0,2.7427793754858882,6.101030141821266,0,46404,0
