column,dtype,unique_count,unique_ratio,cardinality,is_categorical,is_numeric
 Destination Port,int64,30238,0.057061658596235645,30238,False,True
 Flow Duration,int64,225076,0.4247374122033975,225076,False,True
 Total Fwd Packets,int64,662,0.0012492498839443084,662,False,True
 Total Backward Packets,int64,844,0.0015926992478081515,844,False,True
Total Length of Fwd Packets,int64,9511,0.017948059888511052,9511,False,True
 Total Length of Bwd Packets,int64,25014,0.047203529602693244,25014,False,True
 Fwd Packet Length Max,int64,3614,0.0068199230824391695,3614,False,True
 Fwd Packet Length Min,int64,206,0.0003887393898678663,206,False,True
 Fwd Packet Length Mean,float64,32863,0.06201525519042569,32863,False,True
 Fwd Packet Length Std,float64,61725,0.11648028562909733,61725,False,True
Bwd Packet Length Max,int64,3872,0.00730679086198242,3872,False,True
 Bwd Packet Length Min,int64,438,0.0008265429745734246,438,False,True
 Bwd Packet Length Mean,float64,45287,0.08546039198517506,45287,False,True
 Bwd Packet Length Std,float64,63107,0.11908823629316234,63107,False,True
Flow Bytes/s,float64,326130,0.6154348408621712,326130,False,True
 Flow Packets/s,float64,246028,0.4642756049049098,246028,False,True
 Flow IAT Mean,float64,248699,0.46931600738227425,248699,False,True
 Flow IAT Std,float64,240672,0.4541683807683453,240672,False,True
 Flow IAT Max,int64,196660,0.37111402141463395,196660,False,True
 Flow IAT Min,int64,50378,0.0950675387512785,50378,False,True
Fwd IAT Total,int64,182085,0.343609766039274,182085,False,True
 Fwd IAT Mean,float64,186286,0.3515374076743949,186286,False,True
 Fwd IAT Std,float64,164739,0.3108763997448662,164739,False,True
 Fwd IAT Max,int64,153200,0.28910133265901516,153200,False,True
 Fwd IAT Min,int64,45631,0.08610954902456606,45631,False,True
Bwd IAT Total,int64,140444,0.2650296838378768,140444,False,True
 Bwd IAT Mean,float64,144506,0.2726950207390577,144506,False,True
 Bwd IAT Std,float64,134184,0.2532165353884941,134184,False,True
 Bwd IAT Max,int64,120897,0.22814284474201668,120897,False,True
 Bwd IAT Min,int64,27070,0.05108337516370457,27070,False,True
Fwd PSH Flags,int64,2,3.774168833668605e-06,2,False,True
 Bwd PSH Flags,int64,1,1.8870844168343026e-06,1,False,True
 Fwd URG Flags,int64,1,1.8870844168343026e-06,1,False,True
 Bwd URG Flags,int64,1,1.8870844168343026e-06,1,False,True
 Fwd Header Length,int64,1728,0.003260881872289675,1728,False,True
 Bwd Header Length,int64,1948,0.0036760404439932217,1948,False,True
Fwd Packets/s,float64,243096,0.45874267339475167,243096,False,True
 Bwd Packets/s,float64,223150,0.42110288761657466,223150,False,True
 Min Packet Length,int64,145,0.0002736272404409739,145,False,True
 Max Packet Length,int64,4401,0.008305058518487765,4401,False,True
 Packet Length Mean,float64,61759,0.1165444464992697,61759,False,True
 Packet Length Std,float64,86977,0.16413294132299713,86977,False,True
 Packet Length Variance,float64,87078,0.1643235368490974,87078,False,True
FIN Flag Count,int64,2,3.774168833668605e-06,2,False,True
 SYN Flag Count,int64,2,3.774168833668605e-06,2,False,True
 RST Flag Count,int64,2,3.774168833668605e-06,2,False,True
 PSH Flag Count,int64,2,3.774168833668605e-06,2,False,True
 ACK Flag Count,int64,2,3.774168833668605e-06,2,False,True
 URG Flag Count,int64,2,3.774168833668605e-06,2,False,True
 CWE Flag Count,int64,1,1.8870844168343026e-06,1,False,True
 ECE Flag Count,int64,2,3.774168833668605e-06,2,False,True
 Down/Up Ratio,int64,11,2.075792858517733e-05,11,False,True
 Average Packet Size,float64,60693,0.11453281451092433,60693,False,True
 Avg Fwd Segment Size,float64,32863,0.06201525519042569,32863,False,True
 Avg Bwd Segment Size,float64,45285,0.0854566178163414,45285,False,True
 Fwd Header Length.1,int64,1728,0.003260881872289675,1728,False,True
Fwd Avg Bytes/Bulk,int64,1,1.8870844168343026e-06,1,False,True
 Fwd Avg Packets/Bulk,int64,1,1.8870844168343026e-06,1,False,True
 Fwd Avg Bulk Rate,int64,1,1.8870844168343026e-06,1,False,True
 Bwd Avg Bytes/Bulk,int64,1,1.8870844168343026e-06,1,False,True
 Bwd Avg Packets/Bulk,int64,1,1.8870844168343026e-06,1,False,True
Bwd Avg Bulk Rate,int64,1,1.8870844168343026e-06,1,False,True
Subflow Fwd Packets,int64,662,0.0012492498839443084,662,False,True
 Subflow Fwd Bytes,int64,9511,0.017948059888511052,9511,False,True
 Subflow Bwd Packets,int64,844,0.0015926992478081515,844,False,True
 Subflow Bwd Bytes,int64,25014,0.047203529602693244,25014,False,True
Init_Win_bytes_forward,int64,5991,0.011305522741254308,5991,False,True
 Init_Win_bytes_backward,int64,6262,0.011816922618216404,6262,False,True
 act_data_pkt_fwd,int64,553,0.0010435576825093694,553,False,True
 min_seg_size_forward,int64,17,3.2080435086183144e-05,17,False,True
Active Mean,float64,70330,0.1327186470359565,70330,False,True
 Active Std,float64,43140,0.08140882174223182,43140,False,True
 Active Max,int64,68593,0.12944078140391532,68593,False,True
 Active Min,int64,46176,0.08713801003174076,46176,False,True
Idle Mean,float64,74802,0.1411576885480395,74802,False,True
 Idle Std,float64,43838,0.08272600666518216,43838,False,True
 Idle Max,int64,64522,0.12175846074298288,64522,False,True
 Idle Min,int64,66754,0.12597043316135703,66754,False,True
 Label,object,1,1.8870844168343026e-06,1,True,False
