column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
 Destination Port,int64,529918,0,0.0,10644.367111515367,21390.21347543368,0.0,53.0,80.0,443.0,65535.0,1.617084007888192,0.7272769832392325,0,317,0
 Flow Duration,int64,529918,0,0.0,10389271.161264572,28751954.380539283,-1.0,176.0,31303.0,355744.75,119999987.0,2.9198155075255543,7.214035188131636,0,437,15
 Total Fwd Packets,int64,529918,0,0.0,10.390315105355922,892.4127910937714,1.0,2.0,2.0,4.0,219759.0,224.94572029913743,51592.25574182832,0,0,0
 Total Backward Packets,int64,529918,0,0.0,11.517104533154185,1173.318787928069,0.0,1.0,2.0,3.0,291922.0,226.14463379953318,52247.99103056739,0,77316,0
Total Length of Fwd Packets,int64,529918,0,0.0,532.4195498171415,6228.642389821857,0.0,18.0,68.0,187.0,1323378.0,149.52965507790302,27906.810068869236,0,62342,0
 Total Length of Bwd Packets,int64,529918,0,0.0,17898.405674085425,2675469.5460472046,0.0,0.0,144.0,392.0,655453030.0,223.72525363211756,50908.43065263661,0,132893,0
 Fwd Packet Length Max,int64,529918,0,0.0,190.89718786680203,448.8337535672504,0.0,6.0,40.0,83.0,23360.0,9.410401807878372,269.4430124071501,0,62342,0
 Fwd Packet Length Min,int64,529918,0,0.0,20.27727874878755,36.2757933089074,0.0,0.0,6.0,40.0,2293.0,23.07430137638605,894.9657830375484,0,216961,0
 Fwd Packet Length Mean,float64,529918,0,0.0,50.74407841574989,91.96471257067014,0.0,6.0,38.0,53.0,4638.9234693878,10.298317068310977,185.46613435412416,0,62342,0
 Fwd Packet Length Std,float64,529918,0,0.0,57.45226871962436,146.51808103180727,0.0,0.0,0.0,26.1629509039,7125.5968458437,6.005652296852762,75.14401678992024,0,346791,0
Bwd Packet Length Max,int64,529918,0,0.0,406.073267939568,785.0380886009518,0.0,0.0,91.0,212.0,13140.0,2.7576570199734864,8.891371661667227,0,132893,0
 Bwd Packet Length Min,int64,529918,0,0.0,49.92438075324861,74.80430768539995,0.0,0.0,6.0,94.0,2146.0,4.425548299330464,62.18874097339514,0,252392,0
 Bwd Packet Length Mean,float64,529918,0,0.0,164.76933693042858,276.9877427788654,0.0,0.0,81.0,164.0,2976.3218390805,3.1953274703128494,12.222579556728826,0,132893,0
 Bwd Packet Length Std,float64,529918,0,0.0,131.3096889002085,275.8482322261344,0.0,0.0,0.0,17.6776695297,2728.5590214128,2.0951307430689536,3.619439199477856,0,391571,0
Flow Bytes/s,float64,529918,64,0.00012077340267739537,inf,,-12000000.0,170.5497520921,5567.65958745595,240000.0,inf,,,373,57544,9
 Flow Packets/s,float64,529918,0,0.0,inf,,-2000000.0,19.312148294175,115.24507071299999,21164.0211640212,inf,,,437,0,15
 Flow IAT Mean,float64,529918,0,0.0,1069388.0577835315,5113239.353690637,-1.0,68.0,10783.9,86985.0,119748208.0,8.81377006472737,93.92854784274604,0,437,15
 Flow IAT Std,float64,529918,0,0.0,1540446.2748407696,6057313.346111313,0.0,0.0,121.820906799,54031.90232245515,84800261.5664079,6.762913178744781,53.38644314539932,0,184539,0
 Flow IAT Max,int64,529918,0,0.0,4323908.714135017,14027503.170407502,-1.0,150.0,30899.0,204816.25,119999735.0,4.645169476504973,23.655051800481708,0,437,15
 Flow IAT Min,int64,529918,0,0.0,293691.4096973494,3883156.394156023,-14.0,3.0,4.0,82.0,119748208.0,15.902483574207595,263.3292968961659,0,13163,512
Fwd IAT Total,int64,529918,0,0.0,10098967.314854374,28581673.7708064,0.0,1.0,4.0,261537.25,119999987.0,2.9620911955514835,7.458272978953808,0,127927,0
 Fwd IAT Mean,float64,529918,0,0.0,2115864.4938506023,10245471.13667904,0.0,1.0,4.0,40828.97916666665,119987020.0,7.368498959599013,59.78621070939528,0,127927,0
 Fwd IAT Std,float64,529918,0,0.0,1045617.0974659203,3911767.0462302696,0.0,0.0,0.0,21064.976257286176,84602929.2769822,7.731888558892537,86.94659535552601,0,351490,0
 Fwd IAT Max,int64,529918,0,0.0,4174560.443427096,13971957.068662295,0.0,1.0,4.0,105485.75,119999869.0,4.696691775778344,24.124086132913384,0,127927,0
