column,dtype,unique_count,unique_ratio,cardinality,is_categorical,is_numeric
 Destination Port,int64,24688,0.08554341272756252,24688,False,True
 Flow Duration,int64,104921,0.36354910915378275,104921,False,True
 Total Fwd Packets,int64,551,0.0019092036784221869,551,False,True
 Total Backward Packets,int64,678,0.0023492560689115116,678,False,True
Total Length of Fwd Packets,int64,6841,0.023703924435728097,6841,False,True
 Total Length of Bwd Packets,int64,16391,0.05679447820874422,16391,False,True
 Fwd Packet Length Max,int64,3046,0.010554327412838441,3046,False,True
 Fwd Packet Length Min,int64,156,0.0005405367946168079,156,False,True
 Fwd Packet Length Mean,float64,19496,0.0675532394092903,19496,False,True
 Fwd Packet Length Std,float64,30071,0.10419539712129507,30071,False,True
Bwd Packet Length Max,int64,3170,0.01098398486496975,3170,False,True
 Bwd Packet Length Min,int64,368,0.0012751124385832393,368,False,True
 Bwd Packet Length Mean,float64,25195,0.08730015731006716,25195,False,True
 Bwd Packet Length Std,float64,30670,0.10627091981344551,30670,False,True
Flow Bytes/s,float64,143974,0.4988669517189763,143974,False,True
 Flow Packets/s,float64,113401,0.39293213491243995,113401,False,True
 Flow IAT Mean,float64,112223,0.38885038911719255,112223,False,True
 Flow IAT Std,float64,100121,0.34691720778095786,100121,False,True
 Flow IAT Max,int64,74325,0.25753459781983495,74325,False,True
 Flow IAT Min,int64,26798,0.09285451937270012,26798,False,True
Fwd IAT Total,int64,45770,0.15859210954879038,45770,False,True
 Fwd IAT Mean,float64,73255,0.25382706980547604,73255,False,True
 Fwd IAT Std,float64,65126,0.22566025183470662,65126,False,True
 Fwd IAT Max,int64,45899,0.15903909189818505,45899,False,True
 Fwd IAT Min,int64,17929,0.06212361660695352,17929,False,True
Bwd IAT Total,int64,26925,0.09329457176318945,26925,False,True
 Bwd IAT Mean,float64,53466,0.1852585914165529,53466,False,True
 Bwd IAT Std,float64,49876,0.172819315181461,49876,False,True
 Bwd IAT Max,int64,27515,0.09533890964026584,27515,False,True
 Bwd IAT Min,int64,8321,0.028832094025682427,8321,False,True
Fwd PSH Flags,int64,2,6.929958905343691e-06,2,False,True
 Bwd PSH Flags,int64,1,3.4649794526718456e-06,1,False,True
 Fwd URG Flags,int64,2,6.929958905343691e-06,2,False,True
 Bwd URG Flags,int64,1,3.4649794526718456e-06,1,False,True
 Fwd Header Length,int64,1328,0.004601492713148211,1328,False,True
 Bwd Header Length,int64,1462,0.005065799959806238,1462,False,True
Fwd Packets/s,float64,112421,0.38953645504882156,112421,False,True
 Bwd Packets/s,float64,104380,0.36167455526988723,104380,False,True
 Min Packet Length,int64,122,0.0004227274932259652,122,False,True
 Max Packet Length,int64,3763,0.013038717680404155,3763,False,True
 Packet Length Mean,float64,32871,0.11389733958877624,32871,False,True
 Packet Length Std,float64,41154,0.14259776439525715,41154,False,True
 Packet Length Variance,float64,41154,0.14259776439525715,41154,False,True
FIN Flag Count,int64,2,6.929958905343691e-06,2,False,True
 SYN Flag Count,int64,2,6.929958905343691e-06,2,False,True
 RST Flag Count,int64,2,6.929958905343691e-06,2,False,True
 PSH Flag Count,int64,2,6.929958905343691e-06,2,False,True
 ACK Flag Count,int64,2,6.929958905343691e-06,2,False,True
 URG Flag Count,int64,2,6.929958905343691e-06,2,False,True
 CWE Flag Count,int64,2,6.929958905343691e-06,2,False,True
 ECE Flag Count,int64,2,6.929958905343691e-06,2,False,True
 Down/Up Ratio,int64,20,6.929958905343692e-05,20,False,True
 Average Packet Size,float64,32193,0.11154808351986473,32193,False,True
 Avg Fwd Segment Size,float64,19496,0.0675532394092903,19496,False,True
 Avg Bwd Segment Size,float64,25195,0.08730015731006716,25195,False,True
 Fwd Header Length.1,int64,1328,0.004601492713148211,1328,False,True
Fwd Avg Bytes/Bulk,int64,1,3.4649794526718456e-06,1,False,True
 Fwd Avg Packets/Bulk,int64,1,3.4649794526718456e-06,1,False,True
 Fwd Avg Bulk Rate,int64,1,3.4649794526718456e-06,1,False,True
 Bwd Avg Bytes/Bulk,int64,1,3.4649794526718456e-06,1,False,True
 Bwd Avg Packets/Bulk,int64,1,3.4649794526718456e-06,1,False,True
Bwd Avg Bulk Rate,int64,1,3.4649794526718456e-06,1,False,True
Subflow Fwd Packets,int64,551,0.0019092036784221869,551,False,True
 Subflow Fwd Bytes,int64,6841,0.023703924435728097,6841,False,True
 Subflow Bwd Packets,int64,678,0.0023492560689115116,678,False,True
 Subflow Bwd Bytes,int64,16392,0.05679794318819689,16392,False,True
Init_Win_bytes_forward,int64,3914,0.013561929577757604,3914,False,True
 Init_Win_bytes_backward,int64,4182,0.014490544071073658,4182,False,True
 act_data_pkt_fwd,int64,421,0.001458756349574847,421,False,True
 min_seg_size_forward,int64,14,4.850971233740584e-05,14,False,True
Active Mean,float64,36018,0.12480162992633453,36018,False,True
 Active Std,float64,23447,0.08124337322679677,23447,False,True
 Active Max,int64,35416,0.12271571229582609,35416,False,True
 Active Min,int64,25911,0.0897810825981802,25911,False,True
Idle Mean,float64,18588,0.06440703806626427,18588,False,True
 Idle Std,float64,22928,0.07944504889086007,22928,False,True
 Idle Max,int64,9959,0.03450773036915891,9959,False,True
 Idle Min,int64,21203,0.07346795933500114,21203,False,True
 Label,object,2,6.929958905343691e-06,2,True,False
