column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
Destination Port,int64,288602,0,0.0,8192.051115376886,17516.899862485156,0.0,53.0,443.0,3211.0,65533.0,2.108985694360986,2.7979520128626763,0,285,0
Flow Duration,int64,288602,0,0.0,8974451.3222223,27536815.81498727,-2.0,59.0,307.0,100550.75,119999936.0,3.2433247334785853,9.192465999678879,0,207,4
Total Fwd Packets,int64,288602,0,0.0,6.22974892758886,74.58781689195744,1.0,2.0,2.0,3.0,22673.0,152.77169281821864,35665.80583624196,0,0,0
Total Backward Packets,int64,288602,0,0.0,6.221595830936723,111.39954664696396,0.0,1.0,2.0,2.0,44553.0,250.16037410165364,91241.04314397622,0,63409,0
Total Length of Fwd Packets,int64,288602,0,0.0,566.2162147178467,26053.49543520241,0.0,4.0,49.0,95.0,12900000.0,431.2684958924238,209169.2827730754,0,26012,0
Total Length of Bwd Packets,int64,288602,0,0.0,6162.1791706225185,189739.95627465588,0.0,0.0,72.0,246.0,63600000.0,185.45518724315676,50425.67055751375,0,82715,0
Fwd Packet Length Max,int64,288602,0,0.0,140.8487501819114,435.7125258646899,0.0,2.0,32.0,51.0,23360.0,9.40865637051648,199.40834911543274,0,26012,0
Fwd Packet Length Min,int64,288602,0,0.0,17.164104891857992,31.97435034421558,0.0,0.0,2.0,35.0,2065.0,21.665329564682057,922.5252475411195,0,84175,0
Fwd Packet Length Mean,float64,288602,0,0.0,41.673154255751705,118.9414150194076,0.0,2.0,29.0,46.0,4317.097561,12.234759824638797,189.73501399823647,0,26012,0
Fwd Packet Length Std,float64,288602,0,0.0,40.731898717637705,137.7154227260819,0.0,0.0,0.0,0.0,4467.11346,7.054114660613795,75.05616722021844,0,217934,0
Bwd Packet Length Max,int64,288602,0,0.0,325.9696952897069,757.7490732711601,0.0,0.0,48.0,138.0,11680.0,3.2822747696588324,12.807236881579307,0,82715,0
Bwd Packet Length Min,int64,288602,0,0.0,40.42318833549317,63.63496753603552,0.0,0.0,6.0,77.0,1543.0,3.713682365155197,52.04350219856325,0,129954,0
Bwd Packet Length Mean,float64,288602,0,0.0,133.06593403433428,270.64083092925654,0.0,0.0,47.0,127.0,2966.952381,3.6976815510543197,15.928318534356201,0,82715,0
Bwd Packet Length Std,float64,288602,0,0.0,101.304279349635,255.61537592805854,0.0,0.0,0.0,0.0,2380.9944,2.611608492133659,6.3734208019432845,0,234331,0
Flow Bytes/s,float64,288602,18,6.236963014809322e-05,inf,,-12000000.0,845.9820695,19567.551825000002,340425.5319,inf,,,189,25058,4
Flow Packets/s,float64,288602,0,0.0,inf,,-2000000.0,34.269656555,10335.91731,41666.66667,inf,,,207,0,4
Flow IAT Mean,float64,288602,0,0.0,602763.0583445195,3221967.815631559,-2.0,44.0,170.5,47878.9166675,120000000.0,13.293093571134188,250.0344729062791,0,207,4
Flow IAT Std,float64,288602,0,0.0,1071999.651454445,4639822.010761819,0.0,0.0,32.261873304999995,27758.71227,84800000.0,8.647937764404666,91.59411513512305,0,108380,0
Flow IAT Max,int64,288602,0,0.0,3047058.407252895,11291530.112589424,-2.0,49.0,271.0,84475.0,120000000.0,5.7115801980022995,36.71760622449787,0,207,4
Flow IAT Min,int64,288602,0,0.0,74517.59069930215,2003467.1221078055,-12.0,3.0,4.0,49.0,120000000.0,36.22032898567167,1423.4205111089022,0,6241,353
Fwd IAT Total,int64,288602,0,0.0,8725640.702309756,27391139.61006727,0.0,1.0,11.0,30054.75,120000000.0,3.2898025046491295,9.478097939771757,0,54758,0
Fwd IAT Mean,float64,288602,0,0.0,1263388.4525477234,7455269.193383639,0.0,1.0,6.0,10100.33333,120000000.0,10.691971519320878,128.17766138391562,0,54758,0
Fwd IAT Std,float64,288602,0,0.0,849457.0647072672,3188036.942784991,0.0,0.0,0.0,32.52691193,81600000.0,7.555500295071967,85.70869349457601,0,214180,0
Fwd IAT Max,int64,288602,0,0.0,2941412.786162258,11265932.204217842,0.0,1.0,8.0,25637.5,120000000.0,5.764787311719867,37.274257648477125,0,54758,0
Fwd IAT Min,int64,288602,0,0.0,711600.6540460566,7227965.997425807,0.0,1.0,3.0,49.0,120000000.0,11.778162087231149,148.0728602325221,0,55566,0
Bwd IAT Total,int64,288602,0,0.0,8223540.208820452,26678380.30855374,0.0,0.0,3.0,49.0,120000000.0,3.3188287660894016,9.648274981985969,0,126299,0
Bwd IAT Mean,float64,288602,0,0.0,1245942.8984065568,7588855.580717805,0.0,0.0,3.0,49.0,120000000.0,10.223013889616615,117.65248803965562,0,126299,0
Bwd IAT Std,float64,288602,0,0.0,661972.7083267008,2923059.4360668985,0.0,0.0,0.0,0.0,81600000.0,8.783213448659367,113.83735100318773,0,234336,0
Bwd IAT Max,int64,288602,0,0.0,2571951.3952917857,10765377.846156912,0.0,0.0,3.0,49.0,120000000.0,6.0847311311049515,41.51811854749779,0,126299,0
Bwd IAT Min,int64,288602,0,0.0,759895.376227469,7346017.955847672,0.0,0.0,1.0,46.0,120000000.0,11.261851973274368,136.29083977148116,0,126921,0
Fwd PSH Flags,int64,288602,0,0.0,0.03621250025987346,0.1868188320726966,0.0,0.0,0.0,0.0,1.0,4.965138777981863,22.652760067267558,0,278151,0
Bwd PSH Flags,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Fwd URG Flags,int64,288602,0,0.0,0.0010914685275916314,0.03301940341444976,0.0,0.0,0.0,0.0,1.0,30.219321812074785,911.2137254553626,0,288287,0
Bwd URG Flags,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Fwd Header Length,int64,288602,0,0.0,162.48404030464098,2094.1327990850473,0.0,40.0,48.0,72.0,742984.0,195.3799956615777,59159.46439936885,0,285,0
Bwd Header Length,int64,288602,0,0.0,160.52264710570267,3119.1547849095596,0.0,20.0,40.0,64.0,1425704.0,342.35700798003194,151901.00831784235,0,63466,0
Fwd Packets/s,float64,288602,0,0.0,93216.99362897033,288172.95235705894,0.0,18.03536286,6349.206349,28985.50725,3000000.0,4.651038312254882,25.130699264388202,0,211,0
Bwd Packets/s,float64,288602,0,0.0,9210.730559911075,41210.193090944806,0.0,0.13745426075,26.433872365,10204.08163,2000000.0,19.42929784574873,556.3967022402896,0,63442,0
Min Packet Length,int64,288602,0,0.0,16.641132078086777,22.764150354928585,0.0,0.0,2.0,35.0,1306.0,3.457408635774123,85.45911544954375,0,85041,0
Max Packet Length,int64,288602,0,0.0,362.78359124330393,825.9252612624209,0.0,6.0,53.0,145.0,23360.0,3.5392257131028573,21.85807212103777,0,25076,0
Packet Length Mean,float64,288602,0,0.0,85.54657009825748,173.85128050074758,0.0,3.6,41.4,78.2,2417.842105,4.941897135577712,34.76193323723205,0,25076,0
Packet Length Std,float64,288602,0,0.0,107.55426347006944,229.1390641136668,0.0,0.0,10.40672859,54.22453319,3439.674248,2.7374569784749725,7.74387445342977,0,87182,0
Packet Length Variance,float64,288602,0,0.0,64072.30366145901,208460.35616639507,0.0,0.0,108.3,2940.3,11800000.0,6.500965648194266,122.19045568329264,0,87182,0
FIN Flag Count,int64,288602,0,0.0,0.017255597674305793,0.1302225048982934,0.0,0.0,0.0,0.0,1.0,7.414198461698833,52.970705914224474,0,283622,0
SYN Flag Count,int64,288602,0,0.0,0.03621250025987346,0.1868188320726966,0.0,0.0,0.0,0.0,1.0,4.965138777981863,22.652760067267558,0,278151,0
RST Flag Count,int64,288602,0,0.0,0.00027026839730840394,0.01643764850963812,0.0,0.0,0.0,0.0,1.0,60.803489555112385,3695.089948900109,0,288524,0
PSH Flag Count,int64,288602,0,0.0,0.4066014788532304,0.49120011428068433,0.0,0.0,0.0,1.0,1.0,0.38028968513552813,-1.8553926132221077,0,171256,0
ACK Flag Count,int64,288602,0,0.0,0.22911483634902044,0.4202640123836787,0.0,0.0,0.0,0.0,1.0,1.2891279429357154,-0.33815149016628565,0,222479,0
URG Flag Count,int64,288602,0,0.0,0.08542906840562435,0.2795196118343408,0.0,0.0,0.0,0.0,1.0,2.9663307118464703,6.7991650099296645,0,263947,0
CWE Flag Count,int64,288602,0,0.0,0.0010914685275916314,0.03301940341444976,0.0,0.0,0.0,0.0,1.0,30.219321812074785,911.2137254553626,0,288287,0
ECE Flag Count,int64,288602,0,0.0,0.00027026839730840394,0.01643764850963812,0.0,0.0,0.0,0.0,1.0,60.803489555112385,3695.089948900109,0,288524,0
Down/Up Ratio,int64,288602,0,0.0,0.6453177732656046,0.6865491826304906,0.0,0.0,1.0,1.0,156.0,55.613694928927416,10673.658917207324,0,109868,0
Average Packet Size,float64,288602,0,0.0,96.9364177427644,181.25354250789007,0.0,4.5,51.25,105.0,3558.0,4.918241697711657,36.04417822650071,0,25076,0
Avg Fwd Segment Size,float64,288602,0,0.0,41.673154255751705,118.9414150194076,0.0,2.0,29.0,46.0,4317.097561,12.234759824638797,189.73501399823647,0,26012,0
Avg Bwd Segment Size,float64,288602,0,0.0,133.0659340343412,270.6408309293011,0.0,0.0,47.0,127.0,2966.952381,3.697681551055603,15.928318534370838,0,82715,0
Fwd Header Length.1,int64,288602,0,0.0,162.48404030464098,2094.1327990850473,0.0,40.0,48.0,72.0,742984.0,195.3799956615777,59159.46439936885,0,285,0
Fwd Avg Bytes/Bulk,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Fwd Avg Packets/Bulk,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Fwd Avg Bulk Rate,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Bwd Avg Bytes/Bulk,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Bwd Avg Packets/Bulk,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Bwd Avg Bulk Rate,int64,288602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288602,0
Subflow Fwd Packets,int64,288602,0,0.0,6.22974892758886,74.58781689195744,1.0,2.0,2.0,3.0,22673.0,152.77169281821864,35665.80583624196,0,0,0
Subflow Fwd Bytes,int64,288602,0,0.0,566.1134364973216,26002.617216578263,0.0,4.0,49.0,95.0,12870338.0,430.893491019472,208887.6048223333,0,26012,0
Subflow Bwd Packets,int64,288602,0,0.0,6.221595830936723,111.39954664696396,0.0,1.0,2.0,2.0,44553.0,250.16037410165364,91241.04314397622,0,63409,0
Subflow Bwd Bytes,int64,288602,0,0.0,6162.009060921268,189708.96986924895,0.0,0.0,72.0,246.0,63586401.0,185.42996109171781,50415.07530932619,0,82715,0
Init_Win_bytes_forward,int64,288602,0,0.0,5589.631211841914,13016.62026566105,-1.0,-1.0,351.0,1024.0,65535.0,3.104221668516835,9.915311915007349,0,4941,102433
Init_Win_bytes_backward,int64,288602,0,0.0,1589.8648554064075,7864.710939547595,-1.0,-1.0,-1.0,114.0,65535.0,6.248299538454723,41.66783651151631,0,38091,164351
act_data_pkt_fwd,int64,288602,0,0.0,3.4357662109063694,49.74616876191523,0.0,1.0,1.0,1.0,9130.0,120.99158204332409,18562.997940586487,0,69878,0
min_seg_size_forward,int64,288602,0,0.0,25.686859411923688,5.85320285525466,0.0,20.0,24.0,32.0,60.0,0.45217745645795027,-0.5389613175196453,0,285,0
Active Mean,float64,288602,0,0.0,61371.51206804381,519510.20099621336,0.0,0.0,0.0,0.0,65200000.0,37.872973088994236,3027.9256771327246,0,251663,0
Active Std,float64,288602,0,0.0,41541.08493246024,377860.04202457063,0.0,0.0,0.0,0.0,38100000.0,32.16230746646838,1961.3331214465184,0,265043,0
Active Max,int64,288602,0,0.0,132512.92946341328,926505.0539473533,0.0,0.0,0.0,0.0,79100000.0,23.76939712610124,1058.3166099807372,0,251663,0
Active Min,int64,288602,0,0.0,38104.46166000236,440800.2999241976,0.0,0.0,0.0,0.0,65200000.0,52.61722845187283,5450.692593666346,0,251663,0
Idle Mean,float64,288602,0,0.0,2609290.1667966614,10685912.469013743,0.0,0.0,0.0,0.0,120000000.0,6.094162205514091,42.23196124311157,0,251568,0
Idle Std,float64,288602,0,0.0,121042.20383100616,1637034.4867767154,0.0,0.0,0.0,0.0,75300000.0,20.80500606412723,496.5679370556216,0,264970,0
Idle Max,int64,288602,0,0.0,2701023.715559837,10992784.03401085,0.0,0.0,0.0,0.0,120000000.0,5.91334792356807,39.27051241314266,0,251568,0
Idle Min,int64,288602,0,0.0,2484256.737115474,10517584.179281142,0.0,0.0,0.0,0.0,120000000.0,6.310868249732942,44.98572946409659,0,251568,0
