column,dtype,total,missing_count,missing_ratio,non_missing
Destination Port,int64,170366,0,0.0,170366
Flow Duration,int64,170366,0,0.0,170366
Total Fwd Packets,int64,170366,0,0.0,170366
Total Backward Packets,int64,170366,0,0.0,170366
Total Length of Fwd Packets,int64,170366,0,0.0,170366
Total Length of Bwd Packets,int64,170366,0,0.0,170366
Fwd Packet Length Max,int64,170366,0,0.0,170366
Fwd Packet Length Min,int64,170366,0,0.0,170366
Fwd Packet Length Mean,float64,170366,0,0.0,170366
Fwd Packet Length Std,float64,170366,0,0.0,170366
Bwd Packet Length Max,int64,170366,0,0.0,170366
Bwd Packet Length Min,int64,170366,0,0.0,170366
Bwd Packet Length Mean,float64,170366,0,0.0,170366
Bwd Packet Length Std,float64,170366,0,0.0,170366
Flow Bytes/s,float64,170366,20,0.00011739431576723055,170346
Flow Packets/s,float64,170366,0,0.0,170366
Flow IAT Mean,float64,170366,0,0.0,170366
Flow IAT Std,float64,170366,0,0.0,170366
Flow IAT Max,int64,170366,0,0.0,170366
Flow IAT Min,int64,170366,0,0.0,170366
Fwd IAT Total,int64,170366,0,0.0,170366
Fwd IAT Mean,float64,170366,0,0.0,170366
Fwd IAT Std,float64,170366,0,0.0,170366
Fwd IAT Max,int64,170366,0,0.0,170366
Fwd IAT Min,int64,170366,0,0.0,170366
Bwd IAT Total,int64,170366,0,0.0,170366
Bwd IAT Mean,float64,170366,0,0.0,170366
Bwd IAT Std,float64,170366,0,0.0,170366
Bwd IAT Max,int64,170366,0,0.0,170366
Bwd IAT Min,int64,170366,0,0.0,170366
Fwd PSH Flags,int64,170366,0,0.0,170366
Bwd PSH Flags,int64,170366,0,0.0,170366
Fwd URG Flags,int64,170366,0,0.0,170366
Bwd URG Flags,int64,170366,0,0.0,170366
Fwd Header Length,int64,170366,0,0.0,170366
Bwd Header Length,int64,170366,0,0.0,170366
Fwd Packets/s,float64,170366,0,0.0,170366
Bwd Packets/s,float64,170366,0,0.0,170366
Min Packet Length,int64,170366,0,0.0,170366
Max Packet Length,int64,170366,0,0.0,170366
Packet Length Mean,float64,170366,0,0.0,170366
Packet Length Std,float64,170366,0,0.0,170366
Packet Length Variance,float64,170366,0,0.0,170366
FIN Flag Count,int64,170366,0,0.0,170366
SYN Flag Count,int64,170366,0,0.0,170366
RST Flag Count,int64,170366,0,0.0,170366
PSH Flag Count,int64,170366,0,0.0,170366
ACK Flag Count,int64,170366,0,0.0,170366
URG Flag Count,int64,170366,0,0.0,170366
CWE Flag Count,int64,170366,0,0.0,170366
ECE Flag Count,int64,170366,0,0.0,170366
Down/Up Ratio,int64,170366,0,0.0,170366
Average Packet Size,float64,170366,0,0.0,170366
Avg Fwd Segment Size,float64,170366,0,0.0,170366
Avg Bwd Segment Size,float64,170366,0,0.0,170366
Fwd Header Length.1,int64,170366,0,0.0,170366
Fwd Avg Bytes/Bulk,int64,170366,0,0.0,170366
Fwd Avg Packets/Bulk,int64,170366,0,0.0,170366
Fwd Avg Bulk Rate,int64,170366,0,0.0,170366
Bwd Avg Bytes/Bulk,int64,170366,0,0.0,170366
Bwd Avg Packets/Bulk,int64,170366,0,0.0,170366
Bwd Avg Bulk Rate,int64,170366,0,0.0,170366
Subflow Fwd Packets,int64,170366,0,0.0,170366
Subflow Fwd Bytes,int64,170366,0,0.0,170366
Subflow Bwd Packets,int64,170366,0,0.0,170366
Subflow Bwd Bytes,int64,170366,0,0.0,170366
Init_Win_bytes_forward,int64,170366,0,0.0,170366
Init_Win_bytes_backward,int64,170366,0,0.0,170366
act_data_pkt_fwd,int64,170366,0,0.0,170366
min_seg_size_forward,int64,170366,0,0.0,170366
Active Mean,float64,170366,0,0.0,170366
Active Std,float64,170366,0,0.0,170366
Active Max,int64,170366,0,0.0,170366
Active Min,int64,170366,0,0.0,170366
Idle Mean,float64,170366,0,0.0,170366
Idle Std,float64,170366,0,0.0,170366
Idle Max,int64,170366,0,0.0,170366
Idle Min,int64,170366,0,0.0,170366
Label,object,170366,0,0.0,170366
