column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
 Destination Port,int64,170366,0,0.0,7897.090599063194,18235.48942779623,0.0,53.0,80.0,443.0,65529.0,2.015123976635114,2.2192605142097457,0,141,0
 Flow Duration,int64,170366,0,0.0,12463538.009321108,31938524.09660821,-1.0,192.0,31412.0,816981.75,119999993.0,2.5917668578534596,5.220392279477959,0,135,11
 Total Fwd Packets,int64,170366,0,0.0,15.124619935902704,1123.107755594473,1.0,1.0,2.0,4.0,200755.0,158.15945748248515,25774.961212750502,0,0,0
 Total Backward Packets,int64,170366,0,0.0,18.02227557141683,1494.492871449626,0.0,1.0,2.0,2.0,270686.0,158.80284940735433,26161.770859501703,0,21596,0
Total Length of Fwd Packets,int64,170366,0,0.0,556.9859479004026,7710.430659957146,0.0,31.0,68.0,148.0,1197199.0,112.99685983725084,15310.439547725693,0,18586,0
 Total Length of Bwd Packets,int64,170366,0,0.0,31831.472001455688,3460816.1071837996,0.0,6.0,134.0,328.0,627000000.0,158.81824253842228,25912.395066193145,0,38079,0
 Fwd Packet Length Max,int64,170366,0,0.0,167.77598229693717,461.29921361130704,0.0,23.0,41.0,60.0,23360.0,12.714047948267334,410.8477536028079,0,18586,0
 Fwd Packet Length Min,int64,170366,0,0.0,22.69778594320463,37.990782980795444,0.0,0.0,6.0,41.0,1729.0,22.369493555269116,813.4373974023164,0,60749,0
 Fwd Packet Length Mean,float64,170366,0,0.0,48.23324971667353,94.94782070756459,0.0,7.88231382975,38.0,50.0,4183.057143,12.331887756922354,242.66586618570872,0,18586,0
 Fwd Packet Length Std,float64,170366,0,0.0,47.23562778386143,141.92742892039027,0.0,0.0,0.0,17.89785834,5463.49385,7.633447830050802,109.28465502321723,0,118762,0
Bwd Packet Length Max,int64,170366,0,0.0,401.84838524118663,813.0884016493694,0.0,6.0,87.0,176.0,13140.0,2.9239288247177515,10.171649958098802,0,38079,0
 Bwd Packet Length Min,int64,170366,0,0.0,53.53936818379254,73.1676150636029,0.0,0.0,6.0,98.0,1460.0,4.679403329329815,69.87542282910265,0,71450,0
 Bwd Packet Length Mean,float64,170366,0,0.0,160.12258780557903,274.4166065627901,0.0,6.0,79.0,153.0,3494.917198,3.443035625206164,14.146035570560384,0,38079,0
 Bwd Packet Length Std,float64,170366,0,0.0,122.51594494579491,274.07600729393977,0.0,0.0,0.0,0.0,3433.501973,2.271326906840444,4.66827569555444,0,131345,0
Flow Bytes/s,float64,170366,20,0.00011739431576723055,inf,,-261000000.0,154.27839655000002,4837.9919595,275423.7288,inf,,,115,18083,10
