column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
Destination Port,int64,445909,0,0.0,8878.375744826859,19522.889727688027,0.0,53.0,80.0,443.0,65505.0,1.8822132890630032,1.6734998276379671,0,316,0
Flow Duration,int64,445909,0,0.0,10779438.83366337,29556285.854017895,-4.0,186.0,31288.0,466820.0,119999977.0,2.8832521091890544,6.930006210965114,0,264,17
Total Fwd Packets,int64,445909,0,0.0,11.800472742196277,867.0724284994528,1.0,2.0,2.0,4.0,206446.0,187.1747867736339,36406.02140221228,0,0,0
Total Backward Packets,int64,445909,0,0.0,13.907212009625283,1172.1615474278,0.0,1.0,2.0,2.0,276072.0,186.4453937029474,36004.006985712724,0,59371,0
Total Length of Fwd Packets,int64,445909,0,0.0,530.2105429583166,5676.904047554076,0.0,4.0,68.0,150.0,2428415.0,212.797897437599,78998.24993999962,0,110847,0
Total Length of Bwd Packets,int64,445909,0,0.0,21863.237227775175,2625767.9851113926,0.0,0.0,136.0,336.0,627000000.0,189.32239454345893,37399.966411704074,0,143507,0
Fwd Packet Length Max,int64,445909,0,0.0,173.3466693877002,472.4507916456269,0.0,1.0,41.0,62.0,24820.0,11.967434312639853,362.90932373654437,0,110847,0
Fwd Packet Length Min,int64,445909,0,0.0,20.579979323135436,38.9383499405181,0.0,0.0,0.0,41.0,2065.0,22.449271949322213,819.985177942598,0,243565,0
Fwd Packet Length Mean,float64,445909,0,0.0,48.52848938678993,113.19502143900242,0.0,0.857142857,37.0,50.0,4672.0,12.42174485858325,219.54307918870603,0,110847,0
Fwd Packet Length Std,float64,445909,0,0.0,49.89709387663535,146.7363246353101,0.0,0.0,0.0,21.92031022,5398.072094,7.267488946680328,97.84799365227381,0,303605,0
Bwd Packet Length Max,int64,445909,0,0.0,426.18577781565295,881.6760229166745,0.0,0.0,86.0,179.0,13140.0,3.011906193938732,11.289000564757206,0,143507,0
Bwd Packet Length Min,int64,445909,0,0.0,50.359952366962766,73.69491321084749,0.0,0.0,0.0,96.0,2896.0,4.7995497779322145,74.16763558779154,0,242418,0
Bwd Packet Length Mean,float64,445909,0,0.0,170.37122474927477,311.3567003176434,0.0,0.0,79.0,149.0,3735.736842,3.3567269930861188,12.864343803242125,0,143507,0
Bwd Packet Length Std,float64,445909,0,0.0,126.94565175274762,284.23464731506914,0.0,0.0,0.0,0.0,4113.240146,2.4231190415217783,6.246027704774212,0,337131,0
Flow Bytes/s,float64,445909,201,0.0004507646178928885,inf,,0.0,1.1552858465,2478.0171259999997,28307.37905,inf,,,63,109726,0
Flow Packets/s,float64,445909,0,0.0,inf,,-2000000.0,13.69028469,120.6163495,19900.49751,inf,,,264,0,17
Flow IAT Mean,float64,445909,0,0.0,896919.3000194863,4250992.490268692,-4.0,73.33333333,10784.33333,115028.6667,120000000.0,9.618881889106428,117.06266945847402,0,264,17
Flow IAT Std,float64,445909,0,0.0,1457431.938629156,5771200.374121038,0.0,0.0,116.423079,79144.02304,84800000.0,7.060610662631369,58.371628455036735,0,155309,0
Flow IAT Max,int64,445909,0,0.0,3983417.23936274,13421585.382463386,-4.0,156.0,30876.0,287578.0,120000000.0,5.002252695699919,27.418612993829587,0,263,17
Flow IAT Min,int64,445909,0,0.0,161752.683731434,2852816.5506286593,-13.0,3.0,4.0,96.0,120000000.0,21.824432085512637,497.2078541371047,0,9316,505
Fwd IAT Total,int64,445909,0,0.0,10497715.113691358,29423143.269793604,0.0,0.0,4.0,288382.0,120000000.0,2.9213463140452536,7.140366440670709,0,112615,0
Fwd IAT Mean,float64,445909,0,0.0,1894540.2124227628,9512342.460552357,0.0,0.0,4.0,45619.79412,120000000.0,8.069164618555419,71.92645504649991,0,112615,0
Fwd IAT Std,float64,445909,0,0.0,1038472.1182659329,3817297.965437971,0.0,0.0,0.0,21971.22191,84400000.0,7.904364623611427,90.52528036110016,0,298961,0
Fwd IAT Max,int64,445909,0,0.0,3880804.6965412227,13400052.932232577,0.0,0.0,4.0,139725.0,120000000.0,5.02751908042434,27.651852324357737,0,112615,0
Fwd IAT Min,int64,445909,0,0.0,1218153.1147543557,9269572.488027345,0.0,0.0,3.0,49.0,120000000.0,8.768574563052988,81.84472548246805,0,115097,0
Bwd IAT Total,int64,445909,0,0.0,9818604.49442375,28615561.387103606,0.0,0.0,3.0,54824.0,120000000.0,2.9686295002512924,7.3960010785973775,0,193487,0
Bwd IAT Mean,float64,445909,0,0.0,1792828.994367195,9459806.229252359,0.0,0.0,3.0,5793.0,120000000.0,8.093421541997108,72.43707512327079,0,193487,0
Bwd IAT Std,float64,445909,0,0.0,808141.6650331278,3505230.678645394,0.0,0.0,0.0,0.0,82600000.0,8.985901919193616,114.33354144330829,0,336471,0
Bwd IAT Max,int64,445909,0,0.0,3348625.659594222,12732274.564113533,0.0,0.0,3.0,33549.0,120000000.0,5.359520351359994,31.469627248797266,0,193487,0
Bwd IAT Min,int64,445909,0,0.0,1202342.0282546438,9205516.412275627,0.0,0.0,2.0,4.0,120000000.0,8.798414130166723,82.54954364598777,0,195081,0
Fwd PSH Flags,int64,445909,0,0.0,0.060723152033262395,0.23882206503978273,0.0,0.0,0.0,0.0,1.0,3.678712167200619,11.532974937020512,0,418832,0
Bwd PSH Flags,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Fwd URG Flags,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Bwd URG Flags,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Fwd Header Length,int64,445909,0,0.0,-150215.32086143136,52897972.85821852,-32212234632.0,40.0,64.0,104.0,4225596.0,-530.1299201591615,312020.9844406327,0,346,11
Bwd Header Length,int64,445909,0,0.0,-11713.996837919845,3595579.8729414744,-1073741320.0,20.0,40.0,80.0,5521440.0,-298.610084351679,89170.2088297081,0,59396,5
Fwd Packets/s,float64,445909,0,0.0,53451.02784197333,224012.67697099436,0.0,6.978196625,63.11338319,10309.27835,3000000.0,6.2308598872920005,46.0799960457376,0,281,0
Bwd Packets/s,float64,445909,0,0.0,5825.595514454947,35444.40337797768,0.0,0.283336238,28.10923248,5813.953488,2000000.0,24.13468106356055,793.5688639982767,0,59480,0
Min Packet Length,int64,445909,0,0.0,19.930761657647636,26.280680911076498,0.0,0.0,0.0,41.0,1408.0,7.304587287524966,296.0545820705078,0,244466,0
Max Packet Length,int64,445909,0,0.0,465.21448322415563,946.3835256986691,0.0,14.0,90.0,204.0,24820.0,3.5746719186196487,28.214259680818046,0,109927,0
Packet Length Mean,float64,445909,0,0.0,107.62004603475258,190.49739703199424,0.0,4.666666667,58.6,91.4,3337.142857,3.8879642736911078,19.49762156724081,0,109927,0
Packet Length Std,float64,445909,0,0.0,135.25851315202286,254.19471406717855,0.0,0.0,26.83840532,81.61066107,3811.855065,2.540832576864859,7.588298857631026,0,123191,0
Packet Length Variance,float64,445909,0,0.0,82909.60898878232,259493.34118382714,0.0,0.0,720.3,6660.3,14500000.0,9.423721414140132,249.89351885073492,0,123191,0
FIN Flag Count,int64,445909,0,0.0,0.018380431881841363,0.13432286502403884,0.0,0.0,0.0,0.0,1.0,7.171105652212113,49.42497795707186,0,437713,0
SYN Flag Count,int64,445909,0,0.0,0.060723152033262395,0.23882206503978273,0.0,0.0,0.0,0.0,1.0,3.678712167200619,11.532974937020512,0,418832,0
RST Flag Count,int64,445909,0,0.0,0.00033639150589021526,0.018337914297647577,0.0,0.0,0.0,0.0,1.0,54.49538497074445,2967.760294167672,0,445759,0
PSH Flag Count,int64,445909,0,0.0,0.24259658360786618,0.4286535819231628,0.0,0.0,0.0,0.0,1.0,1.2009911115331537,-0.5576228510996875,0,337733,0
ACK Flag Count,int64,445909,0,0.0,0.2916873173674449,0.45453964578655587,0.0,0.0,0.0,1.0,1.0,0.9165916280173859,-1.159864989718297,0,315843,0
URG Flag Count,int64,445909,0,0.0,0.11509074721523899,0.31913178393809455,0.0,0.0,0.0,0.0,1.0,2.412238445481059,3.8189114464950635,0,394589,0
CWE Flag Count,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
ECE Flag Count,int64,445909,0,0.0,0.0003386341159294834,0.01839891850174394,0.0,0.0,0.0,0.0,1.0,54.31445407380363,2948.073144092157,0,445758,0
Down/Up Ratio,int64,445909,0,0.0,0.6874496814372439,0.5344404313458753,0.0,0.0,1.0,1.0,35.0,1.9922781365407305,94.5974898649066,0,149064,0
Average Packet Size,float64,445909,0,0.0,121.24315641763735,196.52708638853346,0.0,5.75,74.0,119.862069,3893.333333,3.885798661550008,20.972326307659294,0,109927,0
Avg Fwd Segment Size,float64,445909,0,0.0,48.52848938678993,113.19502143900242,0.0,0.857142857,37.0,50.0,4672.0,12.42174485858325,219.54307918870603,0,110847,0
Avg Bwd Segment Size,float64,445909,0,0.0,170.37122474929046,311.3567003177127,0.0,0.0,79.0,149.0,3735.736842,3.356726993086747,12.864343803246015,0,143507,0
Fwd Header Length.1,int64,445909,0,0.0,-150215.32086143136,52897972.85821852,-32212234632.0,40.0,64.0,104.0,4225596.0,-530.1299201591615,312020.9844406327,0,346,11
Fwd Avg Bytes/Bulk,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Fwd Avg Packets/Bulk,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Fwd Avg Bulk Rate,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Bwd Avg Bytes/Bulk,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Bwd Avg Packets/Bulk,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Bwd Avg Bulk Rate,int64,445909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,445909,0
Subflow Fwd Packets,int64,445909,0,0.0,11.800472742196277,867.0724284994528,1.0,2.0,2.0,4.0,206446.0,187.1747867736339,36406.02140221228,0,0,0
Subflow Fwd Bytes,int64,445909,0,0.0,530.2105429583166,5676.904047554076,0.0,4.0,68.0,150.0,2428415.0,212.797897437599,78998.24993999962,0,110847,0
Subflow Bwd Packets,int64,445909,0,0.0,13.907212009625283,1172.1615474278,0.0,1.0,2.0,2.0,276072.0,186.4453937029474,36004.006985712724,0,59371,0
Subflow Bwd Bytes,int64,445909,0,0.0,21861.626962003458,2625473.3145294087,0.0,0.0,136.0,336.0,627039032.0,189.31942697932504,37399.084416722544,0,143507,0
Init_Win_bytes_forward,int64,445909,0,0.0,7408.452460031082,15609.495613803085,-1.0,-1.0,114.0,8192.0,65535.0,2.538222572190354,5.969244400554135,0,8124,200128
Init_Win_bytes_backward,int64,445909,0,0.0,2792.060604293701,9744.606180983676,-1.0,-1.0,-1.0,247.0,65535.0,4.071822157538013,17.526332983823355,0,14188,256599
act_data_pkt_fwd,int64,445909,0,0.0,2.088340894666849,6.325197461031939,0.0,0.0,1.0,2.0,1846.0,76.26778388586351,17345.845150726233,0,182654,0
min_seg_size_forward,int64,445909,0,0.0,-13217.85551760561,2666478.2487531905,-536870661.0,20.0,20.0,32.0,138.0,-201.33170279635982,40532.636348906,0,381,11
Active Mean,float64,445909,0,0.0,72659.63785834947,620562.4969992115,0.0,0.0,0.0,0.0,107000000.0,49.11843790727611,5768.821684718081,0,381556,0
Active Std,float64,445909,0,0.0,46705.17278995458,360150.42810906423,0.0,0.0,0.0,0.0,24100000.0,20.951683326162385,752.8039298083896,0,406881,0
Active Max,int64,445909,0,0.0,164209.17131073828,1049887.3735664056,0.0,0.0,0.0,0.0,107000000.0,21.257932280240315,1019.9610770848037,0,381556,0
Active Min,int64,445909,0,0.0,48284.263515650055,564948.9440006021,0.0,0.0,0.0,0.0,107000000.0,62.10865200798968,8328.097552723213,0,381556,0
Idle Mean,float64,445909,0,0.0,3294459.034395947,12587763.952874018,0.0,0.0,0.0,0.0,120000000.0,5.420068165095745,32.58991809598034,0,381438,0
Idle Std,float64,445909,0,0.0,149710.49136945143,1982345.556547889,0.0,0.0,0.0,0.0,75900000.0,19.296269161532294,426.7877912631931,0,406725,0
Idle Max,int64,445909,0,0.0,3407024.8028633646,12932486.69085467,0.0,0.0,0.0,0.0,120000000.0,5.269397999673811,30.446423936552165,0,381438,0
Idle Min,int64,445909,0,0.0,3145406.7442392954,12408923.348051963,0.0,0.0,0.0,0.0,120000000.0,5.602615282604432,34.617184003945695,0,381438,0
