column,dtype,count,missing,missing_ratio,mean,std,min,q25,q50,q75,max,skewness,kurtosis,infinity_count,zero_count,negative_count
Destination Port,int64,692703,0,0.0,5686.869462092701,15727.423559827186,0.0,53.0,80.0,443.0,65487.0,2.595529087378457,4.982703739670862,0,330,0
Flow Duration,int64,692703,0,0.0,28001680.746361718,42766802.197003104,-1.0,201.0,61437.0,83024373.0,119999998.0,1.0209348670768226,-0.7946315533166048,0,1297,21
Total Fwd Packets,int64,692703,0,0.0,9.556261485802718,747.197814201113,1.0,2.0,2.0,7.0,203943.0,244.23277459623068,61404.29394662138,0,0,0
Total Backward Packets,int64,692703,0,0.0,10.214078761027453,984.2046326239517,0.0,1.0,2.0,6.0,272353.0,245.60588864704496,62402.96065586472,0,134691,0
Total Length of Fwd Packets,int64,692703,0,0.0,555.0930456487124,6163.663069565681,0.0,12.0,82.0,365.0,1224076.0,120.42839155785816,19196.37492876668,0,116932,0
Total Length of Bwd Packets,int64,692703,0,0.0,16996.44408209579,2241175.2369952328,0.0,0.0,188.0,11595.0,627000000.0,243.42713327008548,60895.977060249046,0,184526,0
Fwd Packet Length Max,int64,692703,0,0.0,233.59393564052704,603.7518563070599,0.0,6.0,46.0,341.0,24820.0,9.334127663143216,135.1835489659972,0,116932,0
Fwd Packet Length Min,int64,692703,0,0.0,15.022182667030458,51.06883458219006,0.0,0.0,0.0,32.0,2065.0,26.63717472343471,900.4520830157056,0,405721,0
Fwd Packet Length Mean,float64,692703,0,0.0,60.55543966675341,157.64379415396905,0.0,6.0,41.0,56.66666667,4640.757576,9.259842407817896,99.16179749544747,0,116932,0
Fwd Packet Length Std,float64,692703,0,0.0,82.89586258992503,226.12608406148124,0.0,0.0,0.0,128.9169168,6429.190773,9.282276044714958,119.54062005759049,0,376416,0
Bwd Packet Length Max,int64,692703,0,0.0,1661.5463134994363,2613.92442788766,0.0,0.0,113.0,2896.0,19530.0,1.5052420953629277,1.2374139732196991,0,184526,0
Bwd Packet Length Min,int64,692703,0,0.0,33.83292406702439,64.5864981213055,0.0,0.0,0.0,58.0,1983.0,4.916383261519138,74.82797005497137,0,444536,0
Bwd Packet Length Mean,float64,692703,0,0.0,551.940841400672,797.4495636050973,0.0,0.0,102.0,917.6,4370.686524,1.2043527860140528,-0.16673548443673214,0,184526,0
Bwd Packet Length Std,float64,692703,0,0.0,658.636320442972,1098.043101934798,0.0,0.0,0.0,927.6033578,6715.738331,1.728203324439681,2.5109303562780743,0,418148,0
Flow Bytes/s,float64,692703,1008,0.001455169098444788,inf,,-12000000.0,102.8251351,519.0026125,18900.712255,inf,,,289,113267,16
Flow Packets/s,float64,692703,0,0.0,inf,,-2000000.0,0.285756896,63.38340622,18348.62385,inf,,,1297,0,21
Flow IAT Mean,float64,692703,0,0.0,2502809.352552051,5595945.046770382,-1.0,79.0,25095.66667,3706980.932,120000000.0,7.408884395579389,99.25177660523538,0,1297,21
Flow IAT Std,float64,692703,0,0.0,6844318.308955948,11754013.205259759,0.0,0.0,15099.92567,4973848.625,84800000.0,1.5813665306391422,1.7813193976669353,0,206877,0
Flow IAT Max,int64,692703,0,0.0,22893070.720954,38393947.17284735,-1.0,173.0,54510.0,25000000.0,120000000.0,1.2699503507630177,-0.2502030391956538,0,1297,21
Flow IAT Min,int64,692703,0,0.0,222459.23406135096,3673247.5437354753,-14.0,1.0,3.0,49.0,120000000.0,22.23347224926677,549.1011679986135,0,28342,749
Fwd IAT Total,int64,692703,0,0.0,27744764.05700856,42770936.49124741,0.0,3.0,1002.0,82900000.0,120000000.0,1.0293123618165876,-0.7807056957804659,0,105953,0
Fwd IAT Mean,float64,692703,0,0.0,5069287.414103792,11036127.803782882,0.0,3.0,967.0,6997845.841,120000000.0,4.839687487856317,35.090811610865266,0,105953,0
Fwd IAT Std,float64,692703,0,0.0,9016684.702573784,16005744.79688136,0.0,0.0,0.0,5009073.6205,83700000.0,1.4599970367557025,0.44259571893631033,0,364235,0
Fwd IAT Max,int64,692703,0,0.0,22798373.660932608,38436294.17050442,0.0,3.0,996.0,23700000.0,120000000.0,1.271642020837534,-0.24731471544988715,0,105953,0
Fwd IAT Min,int64,692703,0,0.0,1030777.622865788,8866760.097231815,-8.0,1.0,3.0,49.0,120000000.0,9.916889798444569,103.37954622576875,0,124574,11
Bwd IAT Total,int64,692703,0,0.0,13864065.616925292,33352930.905204732,0.0,0.0,4.0,157540.0,120000000.0,2.18581845877562,3.050939815149873,0,264399,0
Bwd IAT Mean,float64,692703,0,0.0,2647067.591418649,9593760.206322676,0.0,0.0,4.0,36095.75,120000000.0,6.670933761943704,56.33183358443355,0,264399,0
Bwd IAT Std,float64,692703,0,0.0,3522882.2175300373,10738278.101060715,0.0,0.0,0.0,59701.589095,82900000.0,3.2766695656811646,10.073475568512098,0,420527,0
Bwd IAT Max,int64,692703,0,0.0,9305284.490943449,26166331.451305736,0.0,0.0,4.0,138242.5,120000000.0,2.829415352905747,6.399672531559116,0,264399,0
Bwd IAT Min,int64,692703,0,0.0,926854.9450052909,8107913.746649274,0.0,0.0,3.0,48.0,120000000.0,10.337677922870206,115.01504679318185,0,265947,0
Fwd PSH Flags,int64,692703,0,0.0,0.0422013474750362,0.20104838248070056,0.0,0.0,0.0,0.0,1.0,4.554127406097717,18.740130538221617,0,663470,0
Bwd PSH Flags,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Fwd URG Flags,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Bwd URG Flags,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Fwd Header Length,int64,692703,0,0.0,242.05800321349844,15642.771061536021,-11.0,40.0,64.0,200.0,4290372.0,244.73446752339166,61808.02625615227,0,330,1
Bwd Header Length,int64,692703,0,0.0,249.2459712171017,19689.57222078891,0.0,20.0,64.0,200.0,5447060.0,245.39614906907588,62331.459603389696,0,134696,0
Fwd Packets/s,float64,692703,0,0.0,95453.04858439442,319860.71082673426,0.0,0.149271926,31.72890821,9708.737864,3000000.0,4.45390174934085,21.80068136483217,0,1318,0
Bwd Packets/s,float64,692703,0,0.0,4052.5439399847287,30919.27480160786,0.0,0.059416888,0.360223238,61.04633417,2000000.0,27.135832082483567,1057.0031135000334,0,134907,0
Min Packet Length,int64,692703,0,0.0,13.723770504819527,27.521716217286485,0.0,0.0,0.0,32.0,1448.0,16.141419369887082,634.4301924125987,0,417754,0
Max Packet Length,int64,692703,0,0.0,1725.12907263286,2634.3721880738112,0.0,6.0,123.0,3072.0,24820.0,1.460097572307829,1.16321924641607,0,114275,0
Packet Length Mean,float64,692703,0,0.0,278.246605159218,369.1304936514903,0.0,6.0,70.45454545,663.8333333,2279.754386,1.1217268814222723,-0.2953815997283731,0,114275,0
Packet Length Std,float64,692703,0,0.0,523.2656123968912,783.442461471581,0.0,0.0,43.3232589,984.5125801500001,4364.022571,1.3626129526508441,0.6933946458460798,0,176357,0
Packet Length Variance,float64,692703,0,0.0,887601.847972066,1748894.8491082913,0.0,0.0,1876.904762,969265.0217500001,19000000.0,2.6842280802639435,9.354399991576459,0,176357,0
FIN Flag Count,int64,692703,0,0.0,0.09730144087725909,0.2963680098785892,0.0,0.0,0.0,0.0,1.0,2.717565380815338,5.385177147298034,0,625302,0
SYN Flag Count,int64,692703,0,0.0,0.0422013474750362,0.20104838248070056,0.0,0.0,0.0,0.0,1.0,4.554127406097717,18.740130538221617,0,663470,0
RST Flag Count,int64,692703,0,0.0,0.00033780711213896866,0.018376438338129443,0.0,0.0,0.0,0.0,1.0,54.380900840842166,2955.2909088964275,0,692469,0
PSH Flag Count,int64,692703,0,0.0,0.19369340106799018,0.39519171665184855,0.0,0.0,0.0,0.0,1.0,1.5501715770280653,0.4030330818706882,0,558531,0
ACK Flag Count,int64,692703,0,0.0,0.4180492938532098,0.49323871803858726,0.0,0.0,0.0,1.0,1.0,0.33229728227637384,-1.8895839718830187,0,403119,0
URG Flag Count,int64,692703,0,0.0,0.06637187943462061,0.24893120035739616,0.0,0.0,0.0,0.0,1.0,3.4839294707533393,10.137793827421934,0,646727,0
CWE Flag Count,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
ECE Flag Count,int64,692703,0,0.0,0.00033925073227631465,0.01841564907356546,0.0,0.0,0.0,0.0,1.0,54.26495584451188,2942.6939290712435,0,692468,0
Down/Up Ratio,int64,692703,0,0.0,0.5569573107089185,0.5707335566717643,0.0,0.0,1.0,1.0,43.0,3.0879957569538368,151.9271988146053,0,325184,0
Average Packet Size,float64,692703,0,0.0,305.664881892096,398.04593861997984,0.0,9.0,91.0,696.0656186,2612.0,1.171635473273684,-0.003467473127451104,0,114275,0
Avg Fwd Segment Size,float64,692703,0,0.0,60.55543966675341,157.64379415396905,0.0,6.0,41.0,56.66666667,4640.757576,9.259842407817896,99.16179749544747,0,116932,0
Avg Bwd Segment Size,float64,692703,0,0.0,551.940841400682,797.4495636051091,0.0,0.0,102.0,917.6,4370.686524,1.2043527860140182,-0.16673548443685737,0,184526,0
Fwd Header Length.1,int64,692703,0,0.0,242.05800321349844,15642.771061536021,-11.0,40.0,64.0,200.0,4290372.0,244.73446752339166,61808.02625615227,0,330,1
Fwd Avg Bytes/Bulk,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Fwd Avg Packets/Bulk,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Fwd Avg Bulk Rate,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Bwd Avg Bytes/Bulk,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Bwd Avg Packets/Bulk,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Bwd Avg Bulk Rate,int64,692703,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,692703,0
Subflow Fwd Packets,int64,692703,0,0.0,9.556261485802718,747.197814201113,1.0,2.0,2.0,7.0,203943.0,244.23277459623068,61404.29394662138,0,0,0
Subflow Fwd Bytes,int64,692703,0,0.0,555.0930456487124,6163.663069565681,0.0,12.0,82.0,365.0,1224076.0,120.42839155785816,19196.37492876668,0,116932,0
Subflow Bwd Packets,int64,692703,0,0.0,10.214078761027453,984.2046326239517,0.0,1.0,2.0,6.0,272353.0,245.60588864704496,62402.96065586472,0,134691,0
Subflow Bwd Bytes,int64,692703,0,0.0,16994.89204897337,2240952.8014762662,0.0,0.0,188.0,11595.0,627046409.0,243.43848307581393,60901.86718084803,0,184526,0
Init_Win_bytes_forward,int64,692703,0,0.0,5299.6712559350835,11869.737393666344,-1.0,-1.0,251.0,485.5,65535.0,2.7322472974329726,8.113761761326662,0,67307,203253
Init_Win_bytes_backward,int64,692703,0,0.0,1476.6430779136224,7315.272620919325,-1.0,-1.0,0.0,235.0,65535.0,6.575653901023828,47.19659923692634,0,15873,335475
act_data_pkt_fwd,int64,692703,0,0.0,6.121278527738439,715.1550680383307,0.0,0.0,1.0,2.0,197124.0,244.18910308515837,61284.72200747837,0,203929,0
min_seg_size_forward,int64,692703,0,0.0,26.761141499315002,6.322367894663359,-1.0,20.0,32.0,32.0,60.0,-0.03627612395794049,-1.4225222658165995,0,330,1
Active Mean,float64,692703,0,0.0,92244.78254517567,700704.8879513844,0.0,0.0,0.0,991.0,100000000.0,21.036673609564325,1317.4401441721473,0,470565,0
Active Std,float64,692703,0,0.0,47608.524586820364,474208.1175899806,0.0,0.0,0.0,0.0,74200000.0,39.03790213088695,3912.638596362489,0,648164,0
Active Max,int64,692703,0,0.0,162736.3024456369,1094615.8276981893,0.0,0.0,0.0,991.0,105000000.0,21.040456021247966,1049.5550391899558,0,470565,0
Active Min,int64,692703,0,0.0,63151.85738765387,605102.2617958466,0.0,0.0,0.0,988.0,100000000.0,24.05453915635952,1873.2481678606948,0,470565,0
Idle Mean,float64,692703,0,0.0,22111218.77117727,38124153.50653958,0.0,0.0,0.0,15900000.0,120000000.0,1.308540600628287,-0.15218853724819414,0,463109,0
